drugName	score	gene_name	expert	Entrez
AT-9283	0.27	JAK2	yes	3717
ZOTIRACICLIB	0.16	JAK2	yes	3717
CT-1578	0.44	JAK2	yes	3717
AC-430	3.5	JAK2	yes	3717
SIROLIMUS	0.03	JAK2	yes	3717
BMS-911543	0.66	JAK2	yes	3717
RUXOLITINIB	3.42	JAK2	yes	3717
BARICITINIB	0.55	JAK2	yes	3717
AZD-1480	0.87	JAK2	yes	3717
RUXOLITINIB PHOSPHATE	0.44	JAK2	yes	3717
XL-019	1.17	JAK2	yes	3717
PEFICITINIB	0.35	JAK2	yes	3717
LS-104	0.87	JAK2	yes	3717
LESTAURTINIB	0.35	JAK2	yes	3717
FEDRATINIB	1.31	JAK2	yes	3717
METYROSINE	4.56	TH	yes	7054
SAPROPTERIN	3.42	TH	yes	7054
TRIMIPRAMINE MALEATE	0.09	HTR2C	yes	3358
CHLORPROTHIXENE	0.47	HTR2C	yes	3358
THIORIDAZINE HYDROCHLORIDE	0.04	HTR2C	yes	3358
ESMIRTAZAPINE MALEATE	0.11	HTR2C	yes	3358
ZIPRASIDONE	0.25	HTR2C	yes	3358
LOXAPINE HYDROCHLORIDE	0.13	HTR2C	yes	3358
LORCASERIN HYDROCHLORIDE	0.66	HTR2C	yes	3358
CLOZAPINE	0.14	HTR2C	yes	3358
SERTINDOLE	0.17	HTR2C	yes	3358
BIFEPRUNOX	0.11	HTR2C	yes	3358
QUETIAPINE	0.13	HTR2C	yes	3358
LOXAPINE	0.22	HTR2C	yes	3358
LOXAPINE SUCCINATE	0.11	HTR2C	yes	3358
METHIXENE HYDROCHLORIDE	0.17	HTR2C	yes	3358
MIANSERIN	0.17	HTR2C	yes	3358
OLANZAPINE PAMOATE	0.13	HTR2C	yes	3358
THIORIDAZINE	0.07	HTR2C	yes	3358
PROPIOMAZINE	0.33	HTR2C	yes	3358
MIRTAZAPINE	0.35	HTR2C	yes	3358
DOXEPIN	0.11	HTR2C	yes	3358
OLANZAPINE	0.26	HTR2C	yes	3358
RISPERIDONE	0.18	HTR2C	yes	3358
MINAPRINE	0.66	HTR2C	yes	3358
ZIPRASIDONE HYDROCHLORIDE	0.22	HTR2C	yes	3358
CYCLOBENZAPRINE HYDROCHLORIDE	0.13	HTR2C	yes	3358
TRAZODONE	0.33	HTR2C	yes	3358
TEDATIOXETINE	0.15	HTR2C	yes	3358
QUETIAPINE FUMARATE	0.22	HTR2C	yes	3358
AGOMELATINE	0.33	HTR2C	yes	3358
TRAZODONE HYDROCHLORIDE	0.13	HTR2C	yes	3358
NEFAZODONE HYDROCHLORIDE	0.11	HTR2C	yes	3358
ASENAPINE	0.13	HTR2C	yes	3358
LORCASERIN	1.11	HTR2C	yes	3358
THIETHYLPERAZINE	0.12	HTR2C	yes	3358
RENZAPRIDE	0.13	HTR2C	yes	3358
VABICASERIN HYDROCHLORIDE	0.22	HTR2C	yes	3358
ZIPRASIDONE MESYLATE	0.22	HTR2C	yes	3358
TRAMADOL	0.18	HTR2C	yes	3358
PROMAZINE	0.18	HTR2C	yes	3358
CARPHENAZINE MALEATE	0.22	HTR2C	yes	3358
TRIFLUOPERAZINE HYDROCHLORIDE	0.06	HTR2C	yes	3358
METHYSERGIDE	0.23	HTR2C	yes	3358
IRBESARTAN	2.13	AGTR1	yes	185
EPROSARTAN	19.53	AGTR1	yes	185
AZILSARTAN KAMEDOXOMIL	1.3	AGTR1	yes	185
PRATOSARTAN	0.65	AGTR1	yes	185
TELMISARTAN	3.53	AGTR1	yes	185
AZILSARTAN	5.21	AGTR1	yes	185
TASOSARTAN	10.41	AGTR1	yes	185
EPROSARTAN MESYLATE	1.3	AGTR1	yes	185
VALSARTAN	7.16	AGTR1	yes	185
SARALASIN ACETATE	1.3	AGTR1	yes	185
FORASARTAN	9.11	AGTR1	yes	185
OLMESARTAN	6.51	AGTR1	yes	185
LOSARTAN	2.31	AGTR1	yes	185
OLMESARTAN MEDOXOMIL	0.65	AGTR1	yes	185
CANDESARTAN	2.46	AGTR1	yes	185
LOSARTAN POTASSIUM	1.3	AGTR1	yes	185
CANDESARTAN CILEXETIL	0.22	AGTR1	yes	185
SAPRISARTAN	6.51	AGTR1	yes	185
SPARSENTAN	1.95	AGTR1	yes	185
AMINOPHYLLINE	0.4	PDE4C	yes	5143
ROFLUMILAST	1.99	PDE4C	yes	5143
THEOPHYLLINE	0.17	PDE4C	yes	5143
OXTRIPHYLLINE	0.4	PDE4C	yes	5143
FLAVOXATE HYDROCHLORIDE	0.5	PDE4C	yes	5143
AMLEXANOX	0.28	PDE4C	yes	5143
APREMILAST	1.33	PDE4C	yes	5143
DIPYRIDAMOLE	0.08	PDE4C	yes	5143
PENTOXIFYLLINE	0.12	PDE4C	yes	5143
DYPHYLLINE	3.99	PDE4C	yes	5143
THEOPHYLLINE SODIUM GLYCINATE	0.4	PDE4C	yes	5143
CRISABOROLE	1.33	PDE4C	yes	5143
ETAZOLATE	0.25	PDE4C	yes	5143
IBUDILAST	1.2	PDE4C	yes	5143
VANDETANIB	0.07	FLT1	yes	2321
FRUQUINTINIB	1	FLT1	yes	2321
SURUFATINIB	0.3	FLT1	yes	2321
CEDIRANIB	0.11	FLT1	yes	2321
MUPARFOSTAT	0.08	FLT1	yes	2321
AXITINIB	0.48	FLT1	yes	2321
CEP-5214	0.75	FLT1	yes	2321
ORANTINIB	0.08	FLT1	yes	2321
4SC-203	0.19	FLT1	yes	2321
MOTESANIB	0.66	FLT1	yes	2321
FAMITINIB	0.21	FLT1	yes	2321
BMS-690514	0.11	FLT1	yes	2321
ICRUCUMAB	0.75	FLT1	yes	2321
ILORASERTIB	0.02	FLT1	yes	2321
RG-1530	0.03	FLT1	yes	2321
ENMD-2076	0.03	FLT1	yes	2321
XL-999	0.07	FLT1	yes	2321
TIVOZANIB	0.88	FLT1	yes	2321
GLESATINIB	0.28	FLT1	yes	2321
CEP-11981	0.13	FLT1	yes	2321
PAZOPANIB HYDROCHLORIDE	0.07	FLT1	yes	2321
TAK-593	0.15	FLT1	yes	2321
SUNITINIB MALATE	0.08	FLT1	yes	2321
BRIVANIB	0.14	FLT1	yes	2321
BRIVANIB ALANINATE	0.11	FLT1	yes	2321
VATALANIB	0.4	FLT1	yes	2321
CHIAURANIB	0.19	FLT1	yes	2321
CP-459632	0.09	FLT1	yes	2321
TELATINIB	0.13	FLT1	yes	2321
SEMAXANIB	0.1	FLT1	yes	2321
OSI-930	0.21	FLT1	yes	2321
XL-820	0.13	FLT1	yes	2321
X-82	0.45	FLT1	yes	2321
NINTEDANIB	0.24	FLT1	yes	2321
LUCITANIB	0.19	FLT1	yes	2321
ABICIPAR PEGOL	0.25	FLT1	yes	2321
RABEPRAZOLE SODIUM	0.09	FLT1	yes	2321
FORETINIB	0.17	FLT1	yes	2321
SORAFENIB TOSYLATE	0.05	FLT1	yes	2321
SU-014813	0.19	FLT1	yes	2321
LENVATINIB	0.19	FLT1	yes	2321
L-21649	0.25	FLT1	yes	2321
CEP-7055	0.25	FLT1	yes	2321
AG-13958	0.25	FLT1	yes	2321
PAZOPANIB	0.13	FLT1	yes	2321
TG100-801	0.05	FLT1	yes	2321
REGORAFENIB	0.11	FLT1	yes	2321
KRN-633	0.25	FLT1	yes	2321
TELBERMIN	0.38	FLT1	yes	2321
LENVATINIB MESYLATE	0.25	FLT1	yes	2321
TESEVATINIB	0.21	FLT1	yes	2321
MGCD-265	0.13	FLT1	yes	2321
SUNITINIB	0.26	FLT1	yes	2321
AEE-788	0.11	FLT1	yes	2321
SORAFENIB	0.07	FLT1	yes	2321
NINTEDANIB ESYLATE	0.08	FLT1	yes	2321
DOVITINIB	0.05	FLT1	yes	2321
LINIFANIB	0.05	FLT1	yes	2321
PEGPLERANIB SODIUM	0.13	FLT1	yes	2321
CEDIRANIB	0.03	BRCA1	yes	672
CARBOPLATIN	0.06	BRCA1	yes	672
RUCAPARIB	0.22	BRCA1	yes	672
CISPLATIN	0.05	BRCA1	yes	672
OXALIPLATIN	0.05	BRCA1	yes	672
NIRAPARIB	0.44	BRCA1	yes	672
OLAPARIB	0.5	BRCA1	yes	672
GEMCITABINE	0.03	BRCA1	yes	672
TALAZOPARIB	0.42	BRCA1	yes	672
VELIPARIB	0.59	BRCA1	yes	672
QUARFLOXIN	0.44	BRCA1	yes	672
2X-121	0.33	BRCA1	yes	672
TACEDINALINE	0.56	HDAC11	yes	79885
PANOBINOSTAT LACTATE	0.21	HDAC11	yes	79885
ROMIDEPSIN	0.22	HDAC11	yes	79885
FIMEPINOSTAT	0.23	HDAC11	yes	79885
CUDC-101	0.29	HDAC11	yes	79885
AR-42	0.16	HDAC11	yes	79885
RESMINOSTAT	0.19	HDAC11	yes	79885
BELINOSTAT	0.59	HDAC11	yes	79885
MOCETINOSTAT	0.79	HDAC11	yes	79885
PANOBINOSTAT	0.24	HDAC11	yes	79885
ENTINOSTAT	0.46	HDAC11	yes	79885
PRACINOSTAT	0.17	HDAC11	yes	79885
VORINOSTAT	0.53	HDAC11	yes	79885
VANDETANIB	0.04	PTEN	yes	5728
EVEROLIMUS	0.22	PTEN	yes	5728
PANITUMUMAB	0.12	PTEN	yes	5728
OMIPALISIB	0.03	PTEN	yes	5728
COPANLISIB	0.11	PTEN	yes	5728
VEMURAFENIB	0.15	PTEN	yes	5728
TASELISIB	0.18	PTEN	yes	5728
CARBOPLATIN	0.02	PTEN	yes	5728
GEDATOLISIB	0.11	PTEN	yes	5728
CETUXIMAB	0.07	PTEN	yes	5728
PEMBROLIZUMAB	0.12	PTEN	yes	5728
NIVOLUMAB	0.17	PTEN	yes	5728
CAPIVASERTIB	0.29	PTEN	yes	5728
PILARALISIB	0.1	PTEN	yes	5728
ALPELISIB	0.2	PTEN	yes	5728
DS-7423	0.16	PTEN	yes	5728
PF-04691502	0.11	PTEN	yes	5728
BUPARLISIB	0.16	PTEN	yes	5728
TEMSIROLIMUS	0.26	PTEN	yes	5728
GEFITINIB	0.05	PTEN	yes	5728
ERLOTINIB	0.04	PTEN	yes	5728
PACLITAXEL	0.03	PTEN	yes	5728
ENZALUTAMIDE	0.65	PTEN	yes	5728
GSK-2636771	0.28	PTEN	yes	5728
TRASTUZUMAB	0.24	PTEN	yes	5728
DACTOLISIB	0.1	PTEN	yes	5728
IPATASERTIB	0.49	PTEN	yes	5728
TEZACAFTOR	24.96	CFTR	yes	1080
CROFELEMER	6.93	CFTR	yes	1080
IVACAFTOR	9.71	CFTR	yes	1080
LUMACAFTOR	63.79	CFTR	yes	1080
QBW251	2.77	CFTR	yes	1080
ENOXAPARIN	0.71	F2	yes	2147
DABIGATRAN	1.18	F2	yes	2147
XIMELAGATRAN	17.01	F2	yes	2147
DABIGATRAN ETEXILATE MESYLATE	2.13	F2	yes	2147
DESIRUDIN	4.25	F2	yes	2147
BIVALIRUDIN	23.39	F2	yes	2147
ATECEGATRAN METOXIL	2.13	F2	yes	2147
ARGATROBAN	10.63	F2	yes	2147
HEPARIN	0.15	F2	yes	2147
MENADIONE	0.46	F2	yes	2147
LEPIRUDIN	7.8	F2	yes	2147
PANITUMUMAB	0.28	CDKN2A	yes	1029
PALBOCICLIB	0.99	CDKN2A	yes	1029
VEMURAFENIB	0.19	CDKN2A	yes	1029
ABEMACICLIB	1.04	CDKN2A	yes	1029
DABRAFENIB	0.31	CDKN2A	yes	1029
LETROZOLE	0.39	CDKN2A	yes	1029
RIBOCICLIB	0.36	CDKN2A	yes	1029
LIXIVAPTAN	5.1	AVPR2	yes	554
LYPRESSIN	5.1	AVPR2	yes	554
CONIVAPTAN HYDROCHLORIDE	1.28	AVPR2	yes	554
DESMOPRESSIN	3.83	AVPR2	yes	554
DESMOPRESSIN ACETATE	0.85	AVPR2	yes	554
SATAVAPTAN	2.55	AVPR2	yes	554
CONIVAPTAN	20.41	AVPR2	yes	554
TOLVAPTAN	5.95	AVPR2	yes	554
VASOPRESSIN	1.5	AVPR2	yes	554
VASOPRESSIN TANNATE	0.85	AVPR2	yes	554
TERLIPRESSIN	5.1	AVPR2	yes	554
BRYOSTATIN	0.31	PRKCQ	yes	5588
MIDOSTAURIN	0.14	PRKCQ	yes	5588
GSK-690693	0.34	PRKCQ	yes	5588
QUERCETIN	0.05	PRKCQ	yes	5588
SOTRASTAURIN	0.2	PRKCQ	yes	5588
UCN-01	0.19	PRKCQ	yes	5588
CEP-2563	0.22	PRKCQ	yes	5588
CCX140	17.4	CCR2	yes	729230
CENICRIVIROC	5.8	CCR2	yes	729230
PLOZALIZUMAB	17.4	CCR2	yes	729230
PF-04634817	5.8	CCR2	yes	729230
AZD2423	17.4	CCR2	yes	729230
GOLIMUMAB	4.69	TNF	yes	7124
ADALIMUMAB	1.43	TNF	yes	7124
PF-04236921	0.47	TNF	yes	7124
ONERCEPT	0.94	TNF	yes	7124
AZ9773	0.94	TNF	yes	7124
CERTOLIZUMAB PEGOL	0.94	TNF	yes	7124
PLACULUMAB	2.81	TNF	yes	7124
VADIMEZAN	0.19	TNF	yes	7124
LENALIDOMIDE	0.13	TNF	yes	7124
LENERCEPT	0.94	TNF	yes	7124
DERSALAZINE	0.23	TNF	yes	7124
NERELIMOMAB	0.94	TNF	yes	7124
THALIDOMIDE	0.27	TNF	yes	7124
AFELIMOMAB	1.88	TNF	yes	7124
PEGSUNERCEPT	1.88	TNF	yes	7124
OZORALIZUMAB	1.88	TNF	yes	7124
INFLIXIMAB	1.59	TNF	yes	7124
ETANERCEPT	1.28	TNF	yes	7124
ENMD-981693	0.04	LCK	yes	3932
ILORASERTIB	0.02	LCK	yes	3932
ENMD-2076	0.05	LCK	yes	3932
PAZOPANIB HYDROCHLORIDE	0.1	LCK	yes	3932
NINTEDANIB	0.15	LCK	yes	3932
TG100-801	0.07	LCK	yes	3932
XL-228	0.07	LCK	yes	3932
JNJ-26483327	0.24	LCK	yes	3932
DASATINIB	0.1	LCK	yes	3932
NALOXONE	1.07	OPRD1	yes	4985
CODEINE PHOSPHATE	0.33	OPRD1	yes	4985
CODEINE POLISTIREX	0.33	OPRD1	yes	4985
CEBRANOPADOL	0.49	OPRD1	yes	4985
BENZHYDROCODONE HYDROCHLORIDE	0.33	OPRD1	yes	4985
ADL-5747	0.65	OPRD1	yes	4985
NALBUPHINE	0.98	OPRD1	yes	4985
CODEINE SULFATE	0.33	OPRD1	yes	4985
NALMEFENE HYDROCHLORIDE	0.33	OPRD1	yes	4985
NALTREXONE	1.47	OPRD1	yes	4985
PROPOXYPHENE	0.74	OPRD1	yes	4985
FENTANYL	0.42	OPRD1	yes	4985
AXOMADOL	0.33	OPRD1	yes	4985
NALBUPHINE HYDROCHLORIDE	0.33	OPRD1	yes	4985
SUFENTANIL	0.42	OPRD1	yes	4985
BUTORPHANOL	1.54	OPRD1	yes	4985
BUPRENORPHINE	0.88	OPRD1	yes	4985
MORPHINE	0.32	OPRD1	yes	4985
HYDROCODONE POLISTIREX	0.33	OPRD1	yes	4985
HYDROCODONE	1.18	OPRD1	yes	4985
NALTREXONE HYDROCHLORIDE	0.33	OPRD1	yes	4985
HYDROMORPHONE	1.96	OPRD1	yes	4985
OXYMORPHONE HYDROCHLORIDE	0.33	OPRD1	yes	4985
NALOXONE HYDROCHLORIDE	0.25	OPRD1	yes	4985
CODEINE	1.23	OPRD1	yes	4985
HYDROCODONE BITARTRATE	0.33	OPRD1	yes	4985
OXYMORPHONE	0.74	OPRD1	yes	4985
NALMEFENE	1.31	OPRD1	yes	4985
OXYCODONE	0.65	OPRD1	yes	4985
ODELEPRAN	0.33	OPRD1	yes	4985
CEDIRANIB	0.06	PDGFRA	yes	5156
AXITINIB	0.07	PDGFRA	yes	5156
ORANTINIB	0.1	PDGFRA	yes	5156
MOTESANIB	0.36	PDGFRA	yes	5156
FAMITINIB	0.28	PDGFRA	yes	5156
ENMD-981693	0.04	PDGFRA	yes	5156
ILORASERTIB	0.03	PDGFRA	yes	5156
ENMD-2076	0.08	PDGFRA	yes	5156
XL-999	0.09	PDGFRA	yes	5156
OLARATUMAB	8.7	PDGFRA	yes	5156
PAZOPANIB HYDROCHLORIDE	0.09	PDGFRA	yes	5156
TAK-593	0.19	PDGFRA	yes	5156
BECAPLERMIN	3.87	PDGFRA	yes	5156
CRENOLANIB	2.54	PDGFRA	yes	5156
QUIZARTINIB	0.21	PDGFRA	yes	5156
SUNITINIB MALATE	0.11	PDGFRA	yes	5156
VATALANIB	0.22	PDGFRA	yes	5156
TELATINIB	0.16	PDGFRA	yes	5156
AVAPRITINIB	1.93	PDGFRA	yes	5156
NILOTINIB	0.22	PDGFRA	yes	5156
XL-820	0.32	PDGFRA	yes	5156
X-82	0.39	PDGFRA	yes	5156
NINTEDANIB	0.31	PDGFRA	yes	5156
AMUVATINIB	0.41	PDGFRA	yes	5156
MIDOSTAURIN	0.11	PDGFRA	yes	5156
FORETINIB	0.07	PDGFRA	yes	5156
SU-014813	0.12	PDGFRA	yes	5156
LENVATINIB	0.16	PDGFRA	yes	5156
TANDUTINIB	0.19	PDGFRA	yes	5156
RAMUCIRUMAB	0.32	PDGFRA	yes	5156
PONATINIB	0.25	PDGFRA	yes	5156
PAZOPANIB	0.12	PDGFRA	yes	5156
REGORAFENIB	0.17	PDGFRA	yes	5156
IMATINIB	0.57	PDGFRA	yes	5156
SUNITINIB	0.54	PDGFRA	yes	5156
TOVETUMAB	2.9	PDGFRA	yes	5156
SORAFENIB	0.05	PDGFRA	yes	5156
NINTEDANIB ESYLATE	0.11	PDGFRA	yes	5156
DASATINIB	0.26	PDGFRA	yes	5156
DOVITINIB	0.04	PDGFRA	yes	5156
LINIFANIB	0.03	PDGFRA	yes	5156
MASITINIB	0.28	PDGFRA	yes	5156
PEGPLERANIB SODIUM	0.16	PDGFRA	yes	5156
ALTIRATINIB	0.28	NTRK1	yes	4914
ENMD-2076	0.05	NTRK1	yes	4914
LAROTRECTINIB	3.08	NTRK1	yes	4914
AZD-6918	0.37	NTRK1	yes	4914
AZD-7451	0.37	NTRK1	yes	4914
PLX-7486	0.28	NTRK1	yes	4914
ENTRECTINIB	0.21	NTRK1	yes	4914
CRIZOTINIB	0.17	NTRK1	yes	4914
PEGCANTRATINIB	2.24	NTRK1	yes	4914
REGORAFENIB	0.04	NTRK1	yes	4914
TAVILERMIDE	3.36	NTRK1	yes	4914
IMATINIB	0.12	NTRK1	yes	4914
LESTAURTINIB	0.45	NTRK1	yes	4914
DOVITINIB	0.02	NTRK1	yes	4914
MILCICLIB	0.32	NTRK1	yes	4914
CEP-2563	0.07	NTRK1	yes	4914
TACEDINALINE	0.53	HDAC2	yes	3066
PANOBINOSTAT LACTATE	0.14	HDAC2	yes	3066
CHIDAMIDE	0.36	HDAC2	yes	3066
ROMIDEPSIN	0.46	HDAC2	yes	3066
FIMEPINOSTAT	0.16	HDAC2	yes	3066
CUDC-101	0.41	HDAC2	yes	3066
AR-42	0.11	HDAC2	yes	3066
RESMINOSTAT	0.13	HDAC2	yes	3066
NANATINOSTAT	0.72	HDAC2	yes	3066
DOMATINOSTAT	0.24	HDAC2	yes	3066
ABEXINOSTAT	0.53	HDAC2	yes	3066
BELINOSTAT	0.62	HDAC2	yes	3066
DEPAKOTE	0.18	HDAC2	yes	3066
MOCETINOSTAT	0.78	HDAC2	yes	3066
PANOBINOSTAT	0.43	HDAC2	yes	3066
AN-9	0.16	HDAC2	yes	3066
PAZOPANIB	0.07	HDAC2	yes	3066
ENTINOSTAT	0.56	HDAC2	yes	3066
GIVINOSTAT	0.36	HDAC2	yes	3066
PRACINOSTAT	0.12	HDAC2	yes	3066
VORINOSTAT	0.59	HDAC2	yes	3066
HUHMFG1	15.95	MUC1	yes	4582
GO-203-2C	31.9	MUC1	yes	4582
TACEDINALINE	0.46	HDAC1	yes	3065
PANOBINOSTAT LACTATE	0.13	HDAC1	yes	3065
CHIDAMIDE	0.32	HDAC1	yes	3065
ROMIDEPSIN	0.54	HDAC1	yes	3065
FIMEPINOSTAT	0.14	HDAC1	yes	3065
CUDC-101	0.36	HDAC1	yes	3065
AR-42	0.1	HDAC1	yes	3065
RESMINOSTAT	0.35	HDAC1	yes	3065
NANATINOSTAT	0.64	HDAC1	yes	3065
DOMATINOSTAT	0.43	HDAC1	yes	3065
ABEXINOSTAT	0.35	HDAC1	yes	3065
BELINOSTAT	0.73	HDAC1	yes	3065
DEPAKOTE	0.16	HDAC1	yes	3065
MOCETINOSTAT	0.88	HDAC1	yes	3065
PANOBINOSTAT	0.75	HDAC1	yes	3065
AN-9	0.14	HDAC1	yes	3065
ENTINOSTAT	0.78	HDAC1	yes	3065
GIVINOSTAT	0.43	HDAC1	yes	3065
PRACINOSTAT	0.21	HDAC1	yes	3065
VORINOSTAT	0.57	HDAC1	yes	3065
PSEUDOEPHEDRINE	0.22	ADRA2A	yes	150
NAPHAZOLINE HYDROCHLORIDE	0.12	ADRA2A	yes	150
PHENOXYBENZAMINE HYDROCHLORIDE	0.08	ADRA2A	yes	150
PHENYLPROPANOLAMINE	1.85	ADRA2A	yes	150
OXYMETAZOLINE HYDROCHLORIDE	0.11	ADRA2A	yes	150
EPINEPHRINE	0.25	ADRA2A	yes	150
EPINEPHRINE BITARTRATE	0.05	ADRA2A	yes	150
TETRAHYDROZOLINE HYDROCHLORIDE	0.12	ADRA2A	yes	150
ESMIRTAZAPINE MALEATE	0.12	ADRA2A	yes	150
PARDOPRUNOX	0.11	ADRA2A	yes	150
APRACLONIDINE HYDROCHLORIDE	0.25	ADRA2A	yes	150
FIPAMEZOLE	0.49	ADRA2A	yes	150
SENREBOTASE	0.12	ADRA2A	yes	150
ERGOLOID MESYLATES	0.06	ADRA2A	yes	150
FADOLMIDINE HYDROCHLORIDE	0.25	ADRA2A	yes	150
DEXMEDETOMIDINE	1.11	ADRA2A	yes	150
ALSEROXYLON	0.12	ADRA2A	yes	150
BETHANIDINE	0.37	ADRA2A	yes	150
AMPHETAMINE	0.05	ADRA2A	yes	150
YOHIMBINE	0.69	ADRA2A	yes	150
APRACLONIDINE	5.56	ADRA2A	yes	150
BRIMONIDINE TARTRATE	0.25	ADRA2A	yes	150
PHENTOLAMINE MESYLATE	0.09	ADRA2A	yes	150
BENZPHETAMINE	1.24	ADRA2A	yes	150
TIZANIDINE	1.3	ADRA2A	yes	150
LABETALOL HYDROCHLORIDE	0.08	ADRA2A	yes	150
DROXIDOPA	0.37	ADRA2A	yes	150
METHAMPHETAMINE	0.11	ADRA2A	yes	150
MIANSERIN	0.14	ADRA2A	yes	150
METHYLDOPA	0.29	ADRA2A	yes	150
RAUWOLFIA SERPENTINA	0.15	ADRA2A	yes	150
GUANFACINE HYDROCHLORIDE	0.19	ADRA2A	yes	150
TIZANIDINE HYDROCHLORIDE	0.25	ADRA2A	yes	150
DEXMEDETOMIDINE HYDROCHLORIDE	0.25	ADRA2A	yes	150
MIRTAZAPINE	0.51	ADRA2A	yes	150
DEBRISOQUIN	0.25	ADRA2A	yes	150
DIPIVEFRIN HYDROCHLORIDE	0.09	ADRA2A	yes	150
OLANZAPINE	0.02	ADRA2A	yes	150
TOLAZOLINE HYDROCHLORIDE	0.09	ADRA2A	yes	150
TRAZODONE	0.32	ADRA2A	yes	150
DIPIVEFRIN	1.85	ADRA2A	yes	150
NOREPINEPHRINE	0.42	ADRA2A	yes	150
LOFEXIDINE	1.3	ADRA2A	yes	150
ASENAPINE	0.07	ADRA2A	yes	150
CLONIDINE HYDROCHLORIDE	0.25	ADRA2A	yes	150
GUANABENZ	1.67	ADRA2A	yes	150
FENOLDOPAM	0.33	ADRA2A	yes	150
BRIMONIDINE	0.91	ADRA2A	yes	150
METHYLDOPATE HYDROCHLORIDE	0.25	ADRA2A	yes	150
ESMIRTAZAPINE	0.49	ADRA2A	yes	150
NOREPINEPHRINE BITARTRATE	0.05	ADRA2A	yes	150
OXYMETAZOLINE	0.56	ADRA2A	yes	150
MEPHENTERMINE SULFATE	0.09	ADRA2A	yes	150
PHENTOLAMINE	0.74	ADRA2A	yes	150
LEVONORDEFRIN	0.12	ADRA2A	yes	150
HYDROXYAMPHETAMINE HYDROBROMIDE	0.08	ADRA2A	yes	150
CLONIDINE	1.04	ADRA2A	yes	150
GUANABENZ ACETATE	0.19	ADRA2A	yes	150
GUANFACINE	0.95	ADRA2A	yes	150
ACRIVASTINE	0.82	HRH1	yes	3269
TRIMIPRAMINE MALEATE	0.06	HRH1	yes	3269
CYPROHEPTADINE HYDROCHLORIDE	0.2	HRH1	yes	3269
CHLORPROTHIXENE	0.35	HRH1	yes	3269
MECLIZINE	0.41	HRH1	yes	3269
PROPIOMAZINE HYDROCHLORIDE	0.41	HRH1	yes	3269
OLOPATADINE HYDROCHLORIDE	0.41	HRH1	yes	3269
PHENIRAMINE MALEATE	0.41	HRH1	yes	3269
EMEDASTINE DIFUMARATE	0.41	HRH1	yes	3269
KETOTIFEN FUMARATE	0.41	HRH1	yes	3269
CHLORPHENIRAMINE POLISTIREX	0.41	HRH1	yes	3269
BENZQUINAMIDE	0.27	HRH1	yes	3269
CYCLIZINE	2.45	HRH1	yes	3269
LEVOMEPROMAZINE	0.09	HRH1	yes	3269
ESMIRTAZAPINE MALEATE	0.07	HRH1	yes	3269
BROMODIPHENHYDRAMINE HYDROCHLORIDE	0.41	HRH1	yes	3269
CLEMASTINE	0.64	HRH1	yes	3269
ZIPRASIDONE	0.1	HRH1	yes	3269
AZELASTINE HYDROCHLORIDE	0.1	HRH1	yes	3269
CYPROHEPTADINE	0.23	HRH1	yes	3269
ACEPROMETAZINE	2.86	HRH1	yes	3269
CARBINOXAMINE MALEATE	0.41	HRH1	yes	3269
LY2624803	0.82	HRH1	yes	3269
EMEDASTINE	4.09	HRH1	yes	3269
CLOZAPINE	0.03	HRH1	yes	3269
CARBINOXAMINE	1.64	HRH1	yes	3269
DIPHENYLPYRALINE	2.04	HRH1	yes	3269
PROMETHAZINE	0.3	HRH1	yes	3269
ORPHENADRINE HYDROCHLORIDE	0.02	HRH1	yes	3269
ORPHENADRINE	0.41	HRH1	yes	3269
TRIPELENNAMINE	4.09	HRH1	yes	3269
CHLORPHENIRAMINE MALEATE	0.2	HRH1	yes	3269
ILOPERIDONE	0.05	HRH1	yes	3269
METHDILAZINE	3.68	HRH1	yes	3269
GSK-1004723	0.2	HRH1	yes	3269
OLOPATADINE	4.91	HRH1	yes	3269
QUETIAPINE	0.05	HRH1	yes	3269
CLEMASTINE FUMARATE	0.2	HRH1	yes	3269
TRIPELENNAMINE HYDROCHLORIDE	0.2	HRH1	yes	3269
HISTAMINE PHOSPHATE	0.41	HRH1	yes	3269
BEPOTASTINE BESYLATE	0.41	HRH1	yes	3269
KETOTIFEN	1.5	HRH1	yes	3269
DIPHENYLPYRALINE HYDROCHLORIDE	0.41	HRH1	yes	3269
PROCHLORPERAZINE	0.03	HRH1	yes	3269
DIPHENHYDRAMINE CITRATE	0.41	HRH1	yes	3269
PHENIRAMINE	4.5	HRH1	yes	3269
BROMPHENIRAMINE	3.68	HRH1	yes	3269
FLUNARIZINE	0.23	HRH1	yes	3269
MIANSERIN	0.13	HRH1	yes	3269
HYDROXYZINE	0.51	HRH1	yes	3269
CETIRIZINE	0.98	HRH1	yes	3269
DESLORATADINE	1.53	HRH1	yes	3269
PROPIOMAZINE	0.23	HRH1	yes	3269
HYDROXYZINE HYDROCHLORIDE	0.2	HRH1	yes	3269
DESIPRAMINE	0.1	HRH1	yes	3269
EPINASTINE HYDROCHLORIDE	0.41	HRH1	yes	3269
BROMODIPHENHYDRAMINE	2.45	HRH1	yes	3269
LORATADINE	0.38	HRH1	yes	3269
ALCAFTADINE	2.04	HRH1	yes	3269
BEPOTASTINE	2.04	HRH1	yes	3269
CINNARIZINE	0.29	HRH1	yes	3269
DOXEPIN	0.34	HRH1	yes	3269
