id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
2021,acarbose,gatifloxacin,2,Significant,ACARBOSE/GATIFLOXACIN [VA Drug Interaction],C23308102767809
2022,bupropion,phenelzine,2,Critical,BUPROPION/PHENELZINE [VA Drug Interaction],C23308105625435
2023,bupropion,tranylcypromine,2,Critical,BUPROPION/TRANYLCYPROMINE [VA Drug Interaction],C23308107990261
2024,citalopram,clozapine,2,Significant,CITALOPRAM/CLOZAPINE [VA Drug Interaction],C23308113403239
2025,clozapine,paroxetine,2,Significant,CLOZAPINE/PAROXETINE [VA Drug Interaction],C23308115681741
2026,gatifloxacin,nateglinide,2,Significant,GATIFLOXACIN/NATEGLINIDE [VA Drug Interaction],C23308123145260
2027,gatifloxacin,repaglinide,2,Significant,GATIFLOXACIN/REPAGLINIDE [VA Drug Interaction],C23308145395853
2028,gatifloxacin,rosiglitazone,2,Significant,GATIFLOXACIN/ROSIGLITAZONE [VA Drug Interaction],C23308147805936
2029,gatifloxacin,tolazamide,2,Significant,GATIFLOXACIN/TOLAZAMIDE [VA Drug Interaction],C23308150211549
2030,quinine,vardenafil,2,Significant,QUININE/VARDENAFIL [VA Drug Interaction],C23308163115423
2031,vardenafil,voriconazole,2,Significant,VARDENAFIL/VORICONAZOLE [VA Drug Interaction],C23308165563779
2032,vardenafil,ziprasidone,2,Significant,VARDENAFIL/ZIPRASIDONE [VA Drug Interaction],C23308167896478
2033,acitretin,phenytoin,2,Significant,ACITRETIN/PHENYTOIN [VA Drug Interaction],C56.2977
2034,bupropion,risperidone,2,Significant,BUPROPION/RISPERIDONE [VA Drug Interaction],C56.2979
2035,carbamazepine,risperidone,2,Significant,CARBAMAZEPINE/RISPERIDONE [VA Drug Interaction],C56.2981
2036,colchicine,telithromycin,2,Significant,COLCHICINE/TELITHROMYCIN [VA Drug Interaction],C56.2985
2037,melatonin,nifedipine,2,Significant,MELATONIN/NIFEDIPINE [VA Drug Interaction],C56.3004
2038,phenobarbital,risperidone,2,Significant,PHENOBARBITAL/RISPERIDONE [VA Drug Interaction],C56.3007
2039,phenytoin,risperidone,2,Significant,PHENYTOIN/RISPERIDONE [VA Drug Interaction],C56.3008
2040,risperidone,ritonavir,2,Significant,RISPERIDONE/RITONAVIR [VA Drug Interaction],C56.3010
2041,risperidone,topiramate,2,Significant,RISPERIDONE/TOPIRAMATE [VA Drug Interaction],C56.3011
2042,almotriptan,citalopram,2,Significant,ALMOTRIPTAN/CITALOPRAM [VA Drug Interaction],C56.3012
2043,almotriptan,duloxetine,2,Significant,ALMOTRIPTAN/DULOXETINE [VA Drug Interaction],C56.3013
2044,almotriptan,fluoxetine,2,Significant,ALMOTRIPTAN/FLUOXETINE [VA Drug Interaction],C56.3015
2045,almotriptan,paroxetine,2,Significant,ALMOTRIPTAN/PAROXETINE [VA Drug Interaction],C56.3017
2046,almotriptan,sertraline,2,Significant,ALMOTRIPTAN/SERTRALINE [VA Drug Interaction],C56.3018
2047,amiodarone,ranolazine,2,Critical,AMIODARONE/RANOLAZINE [VA Drug Interaction],C56.3020
2048,azathioprine,mercaptopurine,2,Critical,AZATHIOPRINE/MERCAPTOPURINE [VA Drug Interaction],C56.3021
2049,cimetidine,ranolazine,2,Critical,CIMETIDINE/RANOLAZINE [VA Drug Interaction],C56.3022
2050,citalopram,eletriptan,2,Significant,CITALOPRAM/ELETRIPTAN [VA Drug Interaction],C56.3023
2051,citalopram,frovatriptan,2,Significant,CITALOPRAM/FROVATRIPTAN [VA Drug Interaction],C56.3024
2052,citalopram,zolmitriptan,2,Significant,CITALOPRAM/ZOLMITRIPTAN [VA Drug Interaction],C56.3027
2053,clarithromycin,ranolazine,2,Critical,CLARITHROMYCIN/RANOLAZINE [VA Drug Interaction],C56.3028
2054,diltiazem,ranolazine,2,Critical,DILTIAZEM/RANOLAZINE [VA Drug Interaction],C56.3031
2055,disopyramide,ranolazine,2,Significant,DISOPYRAMIDE/RANOLAZINE [VA Drug Interaction],C56.3032
2056,dofetilide,ranolazine,2,Critical,DOFETILIDE/RANOLAZINE [VA Drug Interaction],C56.3033
2057,duloxetine,eletriptan,2,Significant,DULOXETINE/ELETRIPTAN [VA Drug Interaction],C56.3034
2058,duloxetine,frovatriptan,2,Significant,DULOXETINE/FROVATRIPTAN [VA Drug Interaction],C56.3037
2059,duloxetine,rizatriptan,2,Significant,DULOXETINE/RIZATRIPTAN [VA Drug Interaction],C56.3038
2060,duloxetine,sertraline,2,Significant,DULOXETINE/SERTRALINE [VA Drug Interaction],C56.3039
2061,duloxetine,sumatriptan,2,Significant,DULOXETINE/SUMATRIPTAN [VA Drug Interaction],C56.3040
2062,duloxetine,zolmitriptan,2,Significant,DULOXETINE/ZOLMITRIPTAN [VA Drug Interaction],C56.3041
2063,eletriptan,fluoxetine,2,Significant,ELETRIPTAN/FLUOXETINE [VA Drug Interaction],C56.3043
2064,eletriptan,paroxetine,2,Significant,ELETRIPTAN/PAROXETINE [VA Drug Interaction],C56.3045
2065,eletriptan,sertraline,2,Significant,ELETRIPTAN/SERTRALINE [VA Drug Interaction],C56.3046
2066,erythromycin,ranolazine,2,Critical,ERYTHROMYCIN/RANOLAZINE [VA Drug Interaction],C56.3048
2067,fluoxetine,frovatriptan,2,Significant,FLUOXETINE/FROVATRIPTAN [VA Drug Interaction],C56.3055
2068,fluoxetine,risperidone,2,Significant,FLUOXETINE/RISPERIDONE [VA Drug Interaction],C56.3056
2069,frovatriptan,paroxetine,2,Significant,FROVATRIPTAN/PAROXETINE [VA Drug Interaction],C56.3063
2070,frovatriptan,sertraline,2,Significant,FROVATRIPTAN/SERTRALINE [VA Drug Interaction],C56.3064
2071,itraconazole,ranolazine,2,Critical,ITRACONAZOLE/RANOLAZINE [VA Drug Interaction],C56.3069
2072,ketoconazole,ranolazine,2,Critical,KETOCONAZOLE/RANOLAZINE [VA Drug Interaction],C56.3070
2073,nefazodone,ranolazine,2,Critical,NEFAZODONE/RANOLAZINE [VA Drug Interaction],C56.3071
2074,procainamide,ranolazine,2,Critical,PROCAINAMIDE/RANOLAZINE [VA Drug Interaction],C56.3073
2075,quinidine,ranolazine,2,Critical,QUINIDINE/RANOLAZINE [VA Drug Interaction],C56.3074
2076,ranolazine,ritonavir,2,Critical,RANOLAZINE/RITONAVIR [VA Drug Interaction],C56.3075
2077,ranolazine,saquinavir,2,Critical,RANOLAZINE/SAQUINAVIR [VA Drug Interaction],C56.3076
2078,ranolazine,sotalol,2,Critical,RANOLAZINE/SOTALOL [VA Drug Interaction],C56.3077
2079,ranolazine,verapamil,2,Critical,RANOLAZINE/VERAPAMIL [VA Drug Interaction],C56.3078
2080,ranolazine,voriconazole,2,Critical,RANOLAZINE/VORICONAZOLE [VA Drug Interaction],C56.3079
2081,ranolazine,ziprasidone,2,Critical,RANOLAZINE/ZIPRASIDONE [VA Drug Interaction],C56.3080
2082,clarithromycin,vardenafil,2,Critical,CLARITHROMYCIN/VARDENAFIL [VA Drug Interaction],C56.3081
2083,troleandomycin,vardenafil,2,Significant,TROLEANDOMYCIN/VARDENAFIL [VA Drug Interaction],C56.3082
2084,carbamazepine,erlotinib,2,Significant,CARBAMAZEPINE/ERLOTINIB [VA Drug Interaction],C56.3087
2085,ciprofloxacin,tizanidine,2,Critical,CIPROFLOXACIN/TIZANIDINE [VA Drug Interaction],C56.3088
2086,lopinavir,tipranavir,2,Critical,LOPINAVIR/TIPRANAVIR [VA Drug Interaction],C56.3090
2087,sparfloxacin,ziprasidone,2,Critical,SPARFLOXACIN/ZIPRASIDONE [VA Drug Interaction],C56.3091
2088,tacrolimus,ziprasidone,2,Critical,TACROLIMUS/ZIPRASIDONE [VA Drug Interaction],C56.3092
2089,clarithromycin,eszopiclone,2,Significant,CLARITHROMYCIN/ESZOPICLONE [VA Drug Interaction],C56.3094
2090,clonazepam,omeprazole,2,Significant,CLONAZEPAM/OMEPRAZOLE [VA Drug Interaction],C56.3095
2091,eszopiclone,itraconazole,2,Significant,ESZOPICLONE/ITRACONAZOLE [VA Drug Interaction],C56.3096
2092,alosetron,ketoconazole,2,Significant,ALOSETRON/KETOCONAZOLE [VA Drug Interaction],C56.3097
2093,busulfan,metronidazole,2,Critical,BUSULFAN/METRONIDAZOLE [VA Drug Interaction],C56.3100
2094,ampicillin,levonorgestrel,2,Significant,AMPICILLIN/LEVONORGESTREL [VA Drug Interaction],C56.3105
2095,ampicillin,mestranol,2,Significant,AMPICILLIN/MESTRANOL [VA Drug Interaction],C56.3106
2096,ampicillin,norelgestromin,2,Significant,AMPICILLIN/NORELGESTROMIN [VA Drug Interaction],C56.3107
2097,ampicillin,norethynodrel,2,Significant,AMPICILLIN/NORETHYNODREL [VA Drug Interaction],C56.3108
2098,amprenavir,norgestimate,2,Critical,AMPRENAVIR/NORGESTIMATE [VA Drug Interaction],C56.3109
2099,griseofulvin,mestranol,2,Significant,GRISEOFULVIN/MESTRANOL [VA Drug Interaction],C56.3110
2100,nafcillin,norgestimate,2,Significant,NAFCILLIN/NORGESTIMATE [VA Drug Interaction],C56.3112
2101,alfuzosin,nefazodone,2,Significant,ALFUZOSIN/NEFAZODONE [VA Drug Interaction],C56.3113
2102,chlorpromazine,erythromycin,2,Significant,CHLORPROMAZINE/ERYTHROMYCIN [VA Drug Interaction],C56.3114
2103,citalopram,pimozide,2,Critical,CITALOPRAM/PIMOZIDE [VA Drug Interaction],C56.3115
2104,citalopram,selegiline,2,Critical,CITALOPRAM/SELEGILINE [VA Drug Interaction],C56.3116
2105,clindamycin,erythromycin,2,Significant,CLINDAMYCIN/ERYTHROMYCIN [VA Drug Interaction],C56.3117
2106,erythromycin,itraconazole,2,Significant,ERYTHROMYCIN/ITRACONAZOLE [VA Drug Interaction],C56.3118
2107,erythromycin,lidocaine,2,Significant,ERYTHROMYCIN/LIDOCAINE [VA Drug Interaction],C56.3119
2108,erythromycin,thioridazine,2,Significant,ERYTHROMYCIN/THIORIDAZINE [VA Drug Interaction],C56.3120
2109,erythromycin,trimethoprim,2,Significant,ERYTHROMYCIN/TRIMETHOPRIM [VA Drug Interaction],C56.3121
2110,erythromycin,trimetrexate,2,Significant,ERYTHROMYCIN/TRIMETREXATE [VA Drug Interaction],C56.3122
2111,erythromycin,vasopressin,2,Significant,ERYTHROMYCIN/VASOPRESSIN [VA Drug Interaction],C56.3123
2112,erythromycin,verapamil,2,Critical,ERYTHROMYCIN/VERAPAMIL [VA Drug Interaction],C56.3125
2113,erythromycin,ziprasidone,2,Significant,ERYTHROMYCIN/ZIPRASIDONE [VA Drug Interaction],C56.3126
2114,erythromycin,zolmitriptan,2,Significant,ERYTHROMYCIN/ZOLMITRIPTAN [VA Drug Interaction],C56.3127
2115,fosamprenavir,pimozide,2,Critical,FOSAMPRENAVIR/PIMOZIDE [VA Drug Interaction],C56.3128
2116,lamotrigine,oxcarbazepine,2,Significant,LAMOTRIGINE/OXCARBAZEPINE [VA Drug Interaction],C56.3129
2117,amiodarone,fosamprenavir,2,Critical,AMIODARONE/FOSAMPRENAVIR [VA Drug Interaction],C56.3130
2118,amprenavir,rifapentine,2,Critical,AMPRENAVIR/RIFAPENTINE [VA Drug Interaction],C56.3131
2119,fosamprenavir,itraconazole,2,Significant,FOSAMPRENAVIR/ITRACONAZOLE [VA Drug Interaction],C56.3137
2120,fosamprenavir,methadone,2,Significant,FOSAMPRENAVIR/METHADONE [VA Drug Interaction],C56.3138
2121,fosamprenavir,propafenone,2,Critical,FOSAMPRENAVIR/PROPAFENONE [VA Drug Interaction],C56.3140
2122,fosamprenavir,rifabutin,2,Significant,FOSAMPRENAVIR/RIFABUTIN [VA Drug Interaction],C56.3141
2123,fosamprenavir,rifapentine,2,Critical,FOSAMPRENAVIR/RIFAPENTINE [VA Drug Interaction],C56.3142
2124,fosamprenavir,tacrolimus,2,Significant,FOSAMPRENAVIR/TACROLIMUS [VA Drug Interaction],C56.3143
2125,fosamprenavir,vardenafil,2,Significant,FOSAMPRENAVIR/VARDENAFIL [VA Drug Interaction],C56.3144
2126,imipramine,thioridazine,2,Critical,IMIPRAMINE/THIORIDAZINE [VA Drug Interaction],C56.3145
2127,itraconazole,pantoprazole,2,Critical,ITRACONAZOLE/PANTOPRAZOLE [VA Drug Interaction],C56.3148
2128,ketoconazole,pantoprazole,2,Critical,KETOCONAZOLE/PANTOPRAZOLE [VA Drug Interaction],C56.3149
2129,ketoconazole,trazodone,2,Significant,KETOCONAZOLE/TRAZODONE [VA Drug Interaction],C56.3150
2130,rifapentine,ritonavir,2,Critical,RIFAPENTINE/RITONAVIR [VA Drug Interaction],C56.3151
2131,tamoxifen,warfarin,2,Critical,TAMOXIFEN/WARFARIN [VA Drug Interaction],C56.3152
2132,efavirenz,voriconazole,2,Critical,EFAVIRENZ/VORICONAZOLE [VA Drug Interaction],C56.3154
2133,methazolamide,topiramate,2,Significant,METHAZOLAMIDE/TOPIRAMATE [VA Drug Interaction],C56.3155
2134,ritonavir,trazodone,2,Significant,RITONAVIR/TRAZODONE [VA Drug Interaction],C56.3156
2135,ritonavir,voriconazole,2,Critical,RITONAVIR/VORICONAZOLE [VA Drug Interaction],C56.3157
2136,oxazepam,sodium oxybate,2,Critical,OXAZEPAM/SODIUM OXYBATE [VA Drug Interaction],C56.3161
2137,caspofungin,tacrolimus,2,Significant,CASPOFUNGIN/TACROLIMUS [VA Drug Interaction],C56.3162
2138,chloroquine,cimetidine,2,Significant,CHLOROQUINE/CIMETIDINE [VA Drug Interaction],C56.3163
2139,cilostazol,itraconazole,2,Significant,CILOSTAZOL/ITRACONAZOLE [VA Drug Interaction],C56.3166
2140,imipramine,ziprasidone,2,Critical,IMIPRAMINE/ZIPRASIDONE [VA Drug Interaction],C56.3167
2141,mesoridazine,ziprasidone,2,Critical,MESORIDAZINE/ZIPRASIDONE [VA Drug Interaction],C56.3169
2142,alfentanil,fluconazole,2,Critical,ALFENTANIL/FLUCONAZOLE [VA Drug Interaction],C56.3170
2143,buspirone,erythromycin,2,Significant,BUSPIRONE/ERYTHROMYCIN [VA Drug Interaction],C56.3171
2144,buspirone,itraconazole,2,Significant,BUSPIRONE/ITRACONAZOLE [VA Drug Interaction],C56.3172
2145,carbamazepine,fentanyl,2,Significant,CARBAMAZEPINE/FENTANYL [VA Drug Interaction],C56.3174
2146,fentanyl,phenytoin,2,Significant,FENTANYL/PHENYTOIN [VA Drug Interaction],C56.3175
2147,flecainide,propranolol,2,Significant,FLECAINIDE/PROPRANOLOL [VA Drug Interaction],C56.3176
2148,loratadine,nefazodone,2,Significant,LORATADINE/NEFAZODONE [VA Drug Interaction],C56.3179
2149,sparfloxacin,sucralfate,2,Significant,SPARFLOXACIN/SUCRALFATE [VA Drug Interaction],C56.3180
2150,ciprofloxacin,clozapine,2,Significant,CIPROFLOXACIN/CLOZAPINE [VA Drug Interaction],C56.3181
2151,cisapride,ziprasidone,2,Significant,CISAPRIDE/ZIPRASIDONE [VA Drug Interaction],C56.3182
2152,clarithromycin,ziprasidone,2,Significant,CLARITHROMYCIN/ZIPRASIDONE [VA Drug Interaction],C56.3183
2153,codeine,fluoxetine,2,Significant,CODEINE/FLUOXETINE [VA Drug Interaction],C56.3184
2154,desipramine,ziprasidone,2,Significant,DESIPRAMINE/ZIPRASIDONE [VA Drug Interaction],C56.3185
2155,amitriptyline,ziprasidone,2,Significant,AMITRIPTYLINE/ZIPRASIDONE [VA Drug Interaction],C56.3186
2156,diltiazem,sirolimus,2,Significant,DILTIAZEM/SIROLIMUS [VA Drug Interaction],C56.3187
2157,disopyramide,gatifloxacin,2,Significant,DISOPYRAMIDE/GATIFLOXACIN [VA Drug Interaction],C56.3188
2158,carbamazepine,ziprasidone,2,Significant,CARBAMAZEPINE/ZIPRASIDONE [VA Drug Interaction],C56.3189
2159,fluconazole,ziprasidone,2,Significant,FLUCONAZOLE/ZIPRASIDONE [VA Drug Interaction],C56.3190
2160,isocarboxazid,levodopa,2,Critical,ISOCARBOXAZID/LEVODOPA [VA Drug Interaction],C56.3191
2161,isoniazid,levodopa,2,Significant,ISONIAZID/LEVODOPA [VA Drug Interaction],C56.3192
2162,levodopa,phenelzine,2,Critical,LEVODOPA/PHENELZINE [VA Drug Interaction],C56.3193
2163,methylphenidate,tranylcypromine,2,Critical,METHYLPHENIDATE/TRANYLCYPROMINE [VA Drug Interaction],C56.3194
2164,amiodarone,flecainide,2,Significant,AMIODARONE/FLECAINIDE [VA Drug Interaction],C56.3195
2165,amiodarone,phenytoin,2,Significant,AMIODARONE/PHENYTOIN [VA Drug Interaction],C56.3196
2166,amiodarone,procainamide,2,Significant,AMIODARONE/PROCAINAMIDE [VA Drug Interaction],C56.3197
2167,carbamazepine,clozapine,2,Significant,CARBAMAZEPINE/CLOZAPINE [VA Drug Interaction],C56.3198
2168,cisapride,sertindole,2,Critical,CISAPRIDE/SERTINDOLE [VA Drug Interaction],C56.3200
2169,amlodipine,itraconazole,2,Significant,AMLODIPINE/ITRACONAZOLE [VA Drug Interaction],C56.3201
2170,dofetilide,gatifloxacin,2,Significant,DOFETILIDE/GATIFLOXACIN [VA Drug Interaction],C56.3202
2171,dofetilide,levofloxacin,2,Significant,DOFETILIDE/LEVOFLOXACIN [VA Drug Interaction],C56.3203
2172,dofetilide,perphenazine,2,Significant,DOFETILIDE/PERPHENAZINE [VA Drug Interaction],C56.3204
2173,fosamprenavir,ranolazine,2,Critical,FOSAMPRENAVIR/RANOLAZINE [VA Drug Interaction],C56.3208
2174,haloperidol,ranolazine,2,Critical,HALOPERIDOL/RANOLAZINE [VA Drug Interaction],C56.3209
2175,pimozide,ranolazine,2,Critical,PIMOZIDE/RANOLAZINE [VA Drug Interaction],C56.3211
2176,ranolazine,thioridazine,2,Critical,RANOLAZINE/THIORIDAZINE [VA Drug Interaction],C56.3212
2177,aluminum carbonate,moxifloxacin,2,Significant,ALUMINUM CARBONATE/MOXIFLOXACIN [VA Drug Interaction],C56.3214
2178,amitriptyline,linezolid,2,Critical,AMITRIPTYLINE/LINEZOLID [VA Drug Interaction],C56.3220
2179,amoxapine,linezolid,2,Critical,AMOXAPINE/LINEZOLID [VA Drug Interaction],C56.3221
2180,buprenorphine,erythromycin,2,Significant,BUPRENORPHINE/ERYTHROMYCIN [VA Drug Interaction],C56.3222
2181,cimetidine,dasatinib,2,Significant,CIMETIDINE/DASATINIB [VA Drug Interaction],C56.3223
2182,clomipramine,linezolid,2,Critical,CLOMIPRAMINE/LINEZOLID [VA Drug Interaction],C56.3224
2183,dasatinib,lansoprazole,2,Critical,DASATINIB/LANSOPRAZOLE [VA Drug Interaction],C56.3226
2184,dasatinib,omeprazole,2,Critical,DASATINIB/OMEPRAZOLE [VA Drug Interaction],C56.3227
2185,dasatinib,ranitidine,2,Significant,DASATINIB/RANITIDINE [VA Drug Interaction],C56.3229
2186,desipramine,linezolid,2,Critical,DESIPRAMINE/LINEZOLID [VA Drug Interaction],C56.3230
2187,eletriptan,nefazodone,2,Critical,ELETRIPTAN/NEFAZODONE [VA Drug Interaction],C56.3231
2188,erlotinib,warfarin,2,Significant,ERLOTINIB/WARFARIN [VA Drug Interaction],C56.3232
2189,ferrous fumarate,moxifloxacin,2,Significant,FERROUS FUMARATE/MOXIFLOXACIN [VA Drug Interaction],C56.3233
2190,ferrous carbonate,moxifloxacin,2,Significant,FERROUS CARBONATE/MOXIFLOXACIN [VA Drug Interaction],C56.3234
2191,ferrous gluconate,moxifloxacin,2,Significant,FERROUS GLUCONATE/MOXIFLOXACIN [VA Drug Interaction],C56.3235
2192,ferrous sulfate,moxifloxacin,2,Significant,FERROUS SULFATE/MOXIFLOXACIN [VA Drug Interaction],C56.3236
2193,phenytoin,sucralfate,2,Significant,PHENYTOIN/SUCRALFATE [VA Drug Interaction],C56.3239
2194,tipranavir,vardenafil,2,Significant,TIPRANAVIR/VARDENAFIL [VA Drug Interaction],C56.3240
2195,amprenavir,ranolazine,2,Critical,AMPRENAVIR/RANOLAZINE [VA Drug Interaction],C56.3241
2196,astemizole,efavirenz,2,Critical,ASTEMIZOLE/EFAVIRENZ [VA Drug Interaction],C56.3242
2197,carbamazepine,efavirenz,2,Significant,CARBAMAZEPINE/EFAVIRENZ [VA Drug Interaction],C56.3246
2198,dexamethasone,thalidomide,2,Critical,DEXAMETHASONE/THALIDOMIDE [VA Drug Interaction],C56.3248
2199,duloxetine,fluoxetine,2,Significant,DULOXETINE/FLUOXETINE [VA Drug Interaction],C56.3249
2200,efavirenz,fosamprenavir,2,Significant,EFAVIRENZ/FOSAMPRENAVIR [VA Drug Interaction],C56.3250
2201,lansoprazole,tacrolimus,2,Significant,LANSOPRAZOLE/TACROLIMUS [VA Drug Interaction],C56.3252
2202,astemizole,darunavir,2,Critical,ASTEMIZOLE/DARUNAVIR [VA Drug Interaction],C56.3253
2203,carbamazepine,darunavir,2,Critical,CARBAMAZEPINE/DARUNAVIR [VA Drug Interaction],C56.3254
2204,cisapride,darunavir,2,Critical,CISAPRIDE/DARUNAVIR [VA Drug Interaction],C56.3255
2205,cisplatin,darunavir,2,Critical,CISPLATIN/DARUNAVIR [VA Drug Interaction],C56.3256
2206,darunavir,itraconazole,2,Significant,DARUNAVIR/ITRACONAZOLE [VA Drug Interaction],C56.3260
2207,darunavir,ketoconazole,2,Significant,DARUNAVIR/KETOCONAZOLE [VA Drug Interaction],C56.3261
2208,darunavir,lovastatin,2,Critical,DARUNAVIR/LOVASTATIN [VA Drug Interaction],C56.3262
2209,darunavir,midazolam,2,Critical,DARUNAVIR/MIDAZOLAM [VA Drug Interaction],C56.3264
2210,darunavir,phenobarbital,2,Significant,DARUNAVIR/PHENOBARBITAL [VA Drug Interaction],C56.3265
2211,darunavir,phenytoin,2,Significant,DARUNAVIR/PHENYTOIN [VA Drug Interaction],C56.3266
2212,darunavir,pimozide,2,Critical,DARUNAVIR/PIMOZIDE [VA Drug Interaction],C56.3267
2213,darunavir,rifabutin,2,Significant,DARUNAVIR/RIFABUTIN [VA Drug Interaction],C56.3268
2214,darunavir,simvastatin,2,Critical,DARUNAVIR/SIMVASTATIN [VA Drug Interaction],C56.3271
2215,darunavir,sirolimus,2,Significant,DARUNAVIR/SIROLIMUS [VA Drug Interaction],C56.3272
2216,darunavir,tacrolimus,2,Significant,DARUNAVIR/TACROLIMUS [VA Drug Interaction],C56.3273
2217,darunavir,tadalafil,2,Significant,DARUNAVIR/TADALAFIL [VA Drug Interaction],C56.3274
2218,darunavir,terfenadine,2,Critical,DARUNAVIR/TERFENADINE [VA Drug Interaction],C56.3275
2219,darunavir,triazolam,2,Critical,DARUNAVIR/TRIAZOLAM [VA Drug Interaction],C56.3276
2220,darunavir,vardenafil,2,Significant,DARUNAVIR/VARDENAFIL [VA Drug Interaction],C56.3277
2221,darunavir,warfarin,2,Significant,DARUNAVIR/WARFARIN [VA Drug Interaction],C56.3278
2222,imatinib,phenytoin,2,Significant,IMATINIB/PHENYTOIN [VA Drug Interaction],C56.3279
2223,itraconazole,risperidone,2,Significant,ITRACONAZOLE/RISPERIDONE [VA Drug Interaction],C56.3280
2224,nefazodone,zolmitriptan,2,Significant,NEFAZODONE/ZOLMITRIPTAN [VA Drug Interaction],C56.3281
2226,amiloride,eprosartan,2,Significant,AMILORIDE/EPROSARTAN [VA Drug Interaction],C56.3283
2227,amiloride,irbesartan,2,Significant,AMILORIDE/IRBESARTAN [VA Drug Interaction],C56.3284
2228,amiloride,losartan,2,Significant,AMILORIDE/LOSARTAN [VA Drug Interaction],C56.3285
2230,amiloride,perindopril,2,Significant,AMILORIDE/PERINDOPRIL [VA Drug Interaction],C56.3287
2231,amiloride,telmisartan,2,Significant,AMILORIDE/TELMISARTAN [VA Drug Interaction],C56.3288
2232,amiloride,valsartan,2,Significant,AMILORIDE/VALSARTAN [VA Drug Interaction],C56.3289
2235,celecoxib,etodolac,2,Significant,CELECOXIB/ETODOLAC [VA Drug Interaction],C56.3298
2236,eprosartan,spironolactone,2,Significant,EPROSARTAN/SPIRONOLACTONE [VA Drug Interaction],C56.3301
2237,eprosartan,triamterene,2,Significant,EPROSARTAN/TRIAMTERENE [VA Drug Interaction],C56.3302
2238,etodolac,rofecoxib,2,Significant,ETODOLAC/ROFECOXIB [VA Drug Interaction],C56.3303
2239,irbesartan,spironolactone,2,Significant,IRBESARTAN/SPIRONOLACTONE [VA Drug Interaction],C56.3306
2240,irbesartan,triamterene,2,Significant,IRBESARTAN/TRIAMTERENE [VA Drug Interaction],C56.3307
2241,losartan,triamterene,2,Significant,LOSARTAN/TRIAMTERENE [VA Drug Interaction],C56.3310
2244,perindopril,spironolactone,2,Significant,PERINDOPRIL/SPIRONOLACTONE [VA Drug Interaction],C56.3315
2245,perindopril,triamterene,2,Significant,PERINDOPRIL/TRIAMTERENE [VA Drug Interaction],C56.3316
2246,spironolactone,telmisartan,2,Significant,SPIRONOLACTONE/TELMISARTAN [VA Drug Interaction],C56.3322
2247,spironolactone,valsartan,2,Significant,SPIRONOLACTONE/VALSARTAN [VA Drug Interaction],C56.3323
2248,sulfasalazine,valdecoxib,2,Significant,SULFASALAZINE/VALDECOXIB [VA Drug Interaction],C56.3324
2249,telmisartan,triamterene,2,Significant,TELMISARTAN/TRIAMTERENE [VA Drug Interaction],C56.3325
2250,triamterene,valsartan,2,Significant,TRIAMTERENE/VALSARTAN [VA Drug Interaction],C56.3326
2251,acarbose,pramlintide,2,Critical,ACARBOSE/PRAMLINTIDE [VA Drug Interaction],C56.3328
2252,amiodarone,ofloxacin,2,Critical,AMIODARONE/OFLOXACIN [VA Drug Interaction],C56.3329
2253,atropine,pramlintide,2,Critical,ATROPINE/PRAMLINTIDE [VA Drug Interaction],C56.3332
2254,bexarotene,gemfibrozil,2,Significant,BEXAROTENE/GEMFIBROZIL [VA Drug Interaction],C56.3333
2255,bosentan,fluconazole,2,Significant,BOSENTAN/FLUCONAZOLE [VA Drug Interaction],C56.3334
2256,bosentan,itraconazole,2,Significant,BOSENTAN/ITRACONAZOLE [VA Drug Interaction],C56.3335
2257,bosentan,ketoconazole,2,Significant,BOSENTAN/KETOCONAZOLE [VA Drug Interaction],C56.3336
2258,bosentan,voriconazole,2,Significant,BOSENTAN/VORICONAZOLE [VA Drug Interaction],C56.3337
2259,buspirone,phenelzine,2,Critical,BUSPIRONE/PHENELZINE [VA Drug Interaction],C56.3338
2260,carbamazepine,sunitinib,2,Significant,CARBAMAZEPINE/SUNITINIB [VA Drug Interaction],C56.3339
2261,clarithromycin,sunitinib,2,Significant,CLARITHROMYCIN/SUNITINIB [VA Drug Interaction],C56.3341
2262,clotrimazole,tacrolimus,2,Significant,CLOTRIMAZOLE/TACROLIMUS [VA Drug Interaction],C56.3342
2263,dexamethasone,sunitinib,2,Significant,DEXAMETHASONE/SUNITINIB [VA Drug Interaction],C56.3346
2264,diazepam,rifabutin,2,Significant,DIAZEPAM/RIFABUTIN [VA Drug Interaction],C56.3347
2265,diazepam,rifapentine,2,Significant,DIAZEPAM/RIFAPENTINE [VA Drug Interaction],C56.3348
2266,itraconazole,sunitinib,2,Significant,ITRACONAZOLE/SUNITINIB [VA Drug Interaction],C56.3357
2267,ketoconazole,sunitinib,2,Significant,KETOCONAZOLE/SUNITINIB [VA Drug Interaction],C56.3358
2268,linezolid,mirtazapine,2,Significant,LINEZOLID/MIRTAZAPINE [VA Drug Interaction],C56.3359
2269,linezolid,nortriptyline,2,Critical,LINEZOLID/NORTRIPTYLINE [VA Drug Interaction],C56.3360
2270,linezolid,protriptyline,2,Significant,LINEZOLID/PROTRIPTYLINE [VA Drug Interaction],C56.3361
2271,metoclopramide,pramlintide,2,Critical,METOCLOPRAMIDE/PRAMLINTIDE [VA Drug Interaction],C56.3363
