id,code,chemical_substance,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,l4_code,l4_name,chemical_substance_count
1260,C07AA07,sotalol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1261,C07AA12,nadolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1262,C07AA14,mepindolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1263,C07AA15,carteolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1264,C07AA16,tertatolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1265,C07AA17,bopindolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1266,C07AA19,bupranolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1267,C07AA23,penbutolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1268,C07AA27,cloranolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AA,"Beta blocking agents, non-selective",1
1269,C07AB01,practolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1270,C07AB02,metoprolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1271,C07AB03,atenolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1272,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1273,C07AB05,betaxolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1274,C07AB06,bevantolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1275,C07AB07,bisoprolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1276,C07AB08,celiprolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1277,C07AB09,esmolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1278,C07AB10,epanolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1279,C07AB11,s-atenolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1280,C07AB12,nebivolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1281,C07AB13,talinolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1282,C07AB14,landiolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",1
1283,C07AG01,labetalol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AG,Alpha and beta blocking agents,1
1284,C07AG02,carvedilol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AG,Alpha and beta blocking agents,1
1285,C07BA02,oxprenolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1286,C07BA05,propranolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1287,C07BA06,timolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1288,C07BA07,sotalol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1289,C07BA12,nadolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1290,C07BA68,"metipranolol and thiazides, combinations",C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BA,"Beta blocking agents, non-selective, and thiazides",1
1291,C07BB02,metoprolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1292,C07BB03,atenolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1293,C07BB04,acebutolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1294,C07BB06,bevantolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1295,C07BB07,bisoprolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1296,C07BB12,nebivolol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1297,C07BB52,"metoprolol and thiazides, combinations",C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BB,"Beta blocking agents, selective, and thiazides",1
1298,C07BG01,labetalol and thiazides,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07BG,Alpha and beta blocking agents and thiazides,1
1299,C07CA02,oxprenolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CA,"Beta blocking agents, non-selective, and other diuretics",1
1300,C07CA03,pindolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CA,"Beta blocking agents, non-selective, and other diuretics",1
1301,C07CA17,bopindolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CA,"Beta blocking agents, non-selective, and other diuretics",1
1302,C07CA23,penbutolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CA,"Beta blocking agents, non-selective, and other diuretics",1
1303,C07CB02,metoprolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CB,"Beta blocking agents, selective, and other diuretics",1
1304,C07CB03,atenolol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CB,"Beta blocking agents, selective, and other diuretics",1
1305,C07CB53,"atenolol and other diuretics, combinations",C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CB,"Beta blocking agents, selective, and other diuretics",1
1306,C07CG01,labetalol and other diuretics,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07CG,Alpha and beta blocking agents and other diuretics,1
1307,C07DA06,"timolol, thiazides and other diuretics",C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics",1
1308,C07DB01,"atenolol, thiazides and other diuretics",C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",C07DB,"Beta blocking agents, selective, thiazides and other diuretics",1
1309,C07FB02,metoprolol and felodipine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FB,Beta blocking agents and calcium channel blockers,2
1310,C07FB03,atenolol and nifedipine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FB,Beta blocking agents and calcium channel blockers,2
1311,C07FB07,bisoprolol and amlodipine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FB,Beta blocking agents and calcium channel blockers,2
1312,C07FB12,nebivolol and amlodipine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FB,Beta blocking agents and calcium channel blockers,2
1313,C07FB13,metoprolol and amlodipine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FB,Beta blocking agents and calcium channel blockers,2
1314,C07FX01,propranolol and other combinations,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",1
1315,C07FX02,sotalol and acetylsalicylic acid,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",2
1316,C07FX03,metoprolol and acetylsalicylic acid,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",2
1317,C07FX04,bisoprolol and acetylsalicylic acid,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",2
1318,C07FX05,metoprolol and ivabradine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",2
1319,C07FX06,carvedilol and ivabradine,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07FX,"Beta blocking agents, other combinations",2
1320,C08CA01,amlodipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1321,C08CA02,felodipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1322,C08CA03,isradipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1323,C08CA04,nicardipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1324,C08CA05,nifedipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1325,C08CA06,nimodipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1326,C08CA07,nisoldipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1327,C08CA08,nitrendipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1328,C08CA09,lacidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1329,C08CA10,nilvadipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1330,C08CA11,manidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1331,C08CA12,barnidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1332,C08CA13,lercanidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1333,C08CA14,cilnidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1334,C08CA15,benidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1335,C08CA16,clevidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1336,C08CA51,amlodipine and celecoxib,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,2
1337,C08CA55,"nifedipine, combinations",C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,1
1338,C08CX01,mibefradil,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CX,Other selective calcium channel blockers with mainly vascular effects,1
1339,C08DA01,verapamil,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DA,Phenylalkylamine derivatives,1
1340,C08DA02,gallopamil,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DA,Phenylalkylamine derivatives,1
1341,C08DA51,"verapamil, combinations",C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DA,Phenylalkylamine derivatives,1
1342,C08DB01,diltiazem,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DB,Benzothiazepine derivatives,1
1343,C08EA01,fendiline,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08EA,Phenylalkylamine derivatives,1
1344,C08EA02,bepridil,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08EA,Phenylalkylamine derivatives,1
1345,C08EX01,lidoflazine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08EX,Other non-selective calcium channel blockers,1
1346,C08EX02,perhexiline,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08EX,Other non-selective calcium channel blockers,1
1347,C08GA01,nifedipine and diuretics,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,C08GA,Calcium channel blockers and diuretics,1
1348,C08GA02,amlodipine and diuretics,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,C08GA,Calcium channel blockers and diuretics,1
1349,C09AA01,captopril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1350,C09AA02,enalapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1351,C09AA03,lisinopril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1352,C09AA04,perindopril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1353,C09AA05,ramipril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1354,C09AA06,quinapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1355,C09AA07,benazepril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1356,C09AA08,cilazapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1357,C09AA09,fosinopril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1358,C09AA10,trandolapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1359,C09AA11,spirapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1360,C09AA12,delapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1361,C09AA13,moexipril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1362,C09AA14,temocapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1363,C09AA15,zofenopril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1364,C09AA16,imidapril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
1365,C09BA01,captopril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1366,C09BA02,enalapril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1367,C09BA03,lisinopril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1368,C09BA04,perindopril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1369,C09BA05,ramipril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1370,C09BA06,quinapril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1371,C09BA07,benazepril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1372,C09BA08,cilazapril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1373,C09BA09,fosinopril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1374,C09BA12,delapril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1375,C09BA13,moexipril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1376,C09BA15,zofenopril and diuretics,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BA,ACE inhibitors and diuretics,1
1377,C09BB02,enalapril and lercanidipine,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BB,ACE inhibitors and calcium channel blockers,2
1378,C09BB03,lisinopril and amlodipine,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BB,ACE inhibitors and calcium channel blockers,2
1379,C09BB04,perindopril and amlodipine,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BB,ACE inhibitors and calcium channel blockers,2
1380,C09BB05,ramipril and felodipine,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BB,ACE inhibitors and calcium channel blockers,2
